"CRAWFORD (CAMPS RES,) HILLSHAW",,,,,,,,,,,,
Grid ref,NT042252,Long,-3.518531,Lat,55.511134,,,,,,,
Station no,5163/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.45,8.25,5.15,6.25,6.20,3.95,6.85,7.85,3.00,7.45,,
February,3.85,2.30,3.90,5.50,1.90,3.90,6.90,6.60,1.90,6.85,,
March,4.35,2.95,0.85,6.80,3.00,2.70,4.15,2.04,3.25,2.60,,
April,4.70,3.40,4.10,1.30,2.30,1.20,2.20,3.03,4.40,4.35,,
May,2.55,2.50,2.80,7.45,3.55,2.25,2.50,3.00,2.00,2.70,,
June,2.15,3.25,2.90,3.80,2.70,4.70,2.30,3.55,3.60,2.45,,
July,3.00,3.60,7.00,4.60,3.40,5.65,5.10,7.85,4.85,5.40,,
August,6.95,4.40,4.55,5.60,2.20,9.10,4.75,4.25,1.30,4.50,,
September,3.80,3.05,5.15,7.50,4.20,5.80,3.65,5.40,1.55,3.75,,
October,0.90,4.75,3.30,10.15,3.60,3.20,4.55,3.45,6.40,3.80,,
November,8.70,4.00,6.00,8.80,2.70,2.00,2.75,1.70,10.85,7.00,,
December,8.30,7.05,4.50,8.35,5.85,7.85,6.90,6.50,6.95,6.10,,
Total,57.70,49.50,50.20,76.10,41.60,52.30,52.60,55.22,50.05,56.95,,
Calc annual,57.70,49.50,50.20,76.10,41.60,52.30,52.60,55.22,50.05,56.95,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,,
