"REDCAR (NELSON TERRACE)",,,,,,,,,,,,
Grid ref,NZ598250,Long,-1.075504,Lat,54.616620,,,,,,,
Station no,3479/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.53,1.94,,,,,,,,,,
February,2.15,0.58,,,,,,,,,,
March,3.67,1.04,,,,,,,,,,
April,1.42,1.24,,,,,,,,,,
May,4.54,0.95,,,,,,,,,,
June,1.36,1.55,,,,,,,,,,
July,1.81,1.47,,,,,,,,,,
August,5.47,1.53,,,,,,,,,,
September,0.81,4.46,,,,,,,,,,
October,1.32,2.05,,,,,,,,,,
November,3.83,4.20,,,,,,,,,,
December,3.09,2.17,,,,,,,,,,
Total,31.00,23.18,,,,,,,,,,
Calc annual,31.00,23.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
