"SOUTH KILWORTH (STANFORD RESERVOIR)",,,,,,,,,,,,
Grid ref,SP596804,Long,-1.125086,Lat,52.418355,,,,,,,
Station no,2489/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.41,1.89,1.22,1.16,1.73,3.77,1.46,2.67,3.69,3.48,,
February,3.21,0.67,1.52,2.67,1.78,0.93,2.86,3.03,0.03,1.39,,
March,3.56,2.57,1.03,2.25,2.53,0.72,2.14,1.49,2.03,1.43,,
April,3.07,2.00,1.98,0.45,1.19,0.72,0.28,0.76,2.44,0.57,,
May,2.70,2.95,1.73,3.06,4.13,0.54,1.52,1.95,0.51,1.06,,
June,1.73,1.23,2.30,2.14,2.17,2.93,1.41,5.41,0.80,2.65,,
July,2.07,0.31,3.70,3.81,0.24,2.82,2.99,4.79,1.49,3.30,,
August,5.11,3.72,3.09,4.47,0.79,4.80,3.38,2.57,0.64,3.68,,
September,1.51,1.77,1.57,2.64,1.25,2.01,3.87,2.26,0.10,4.27,,
October,1.02,3.03,2.96,4.29,1.63,1.83,1.37,2.98,2.19,6.03,,
November,4.53,2.72,1.43,5.02,0.89,0.82,1.81,1.89,2.44,2.93,,
December,1.82,2.76,0.89,2.22,1.80,3.45,2.13,2.26,3.88,3.41,,
Total,32.74,-999.00,23.42,34.18,20.13,25.34,25.22,32.06,20.24,34.20,,
Calc annual,32.74,25.62,23.42,34.18,20.13,25.34,25.22,32.06,20.24,34.20,,
Difference,0.00,-1024.62,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
