"OSPRINGE (LORENDEN)",,,,,,,,,,,,
Grid ref,TQ993592,Long,0.857340,Lat,51.297034,,,,,,,
Station no,313,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.13,2.03,0.89,1.54,2.92,3.92,1.64,3.16,2.36,2.67,,
February,6.19,0.88,1.28,1.73,1.96,1.00,3.73,2.15,0.05,2.23,,
March,3.11,2.84,0.30,2.13,1.52,0.42,0.92,1.82,2.22,1.91,,
April,1.86,0.87,0.53,0.22,0.20,1.00,0.29,1.62,2.96,0.71,,
May,2.14,0.84,2.16,1.67,4.20,0.60,1.22,2.07,1.00,2.01,,
June,1.10,1.15,5.62,3.10,2.15,2.45,1.53,4.56,1.32,1.24,,
July,1.31,0.73,2.68,1.93,1.70,2.51,3.24,1.65,2.61,2.85,,
August,3.15,2.22,1.62,3.12,2.97,3.86,2.13,3.45,1.39,4.15,,
September,3.50,4.13,3.97,1.24,1.53,1.95,2.36,2.59,0.23,2.27,,
October,1.16,1.85,2.38,2.09,5.32,1.32,1.03,3.88,2.65,6.76,,
November,3.72,3.97,1.60,6.22,0.92,0.72,3.85,1.95,4.84,5.72,,
December,2.49,2.52,0.69,1.88,2.11,3.39,2.28,3.44,5.76,3.51,,
Total,32.86,24.03,23.72,26.87,27.50,23.14,24.22,32.34,27.39,36.03,,
Calc annual,32.86,24.03,23.72,26.87,27.50,23.14,24.22,32.34,27.39,36.03,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
