"PETERHEAD (MAINS OF BUTHLAW)",,,,,,,,,,,,
Grid ref,NK064484,Long,-1.894793,Lat,57.525717,,,,,,,
Station no,5657,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.77,3.74,1.80,1.13,1.70,3.92,1.96,3.28,3.66,,,
February,3.73,1.60,1.43,2.47,2.86,1.90,1.67,3.53,0.39,,,
March,2.91,3.34,0.31,2.04,1.36,1.20,1.94,2.98,1.42,,,
April,3.00,1.83,2.07,1.22,0.90,1.13,1.24,1.09,2.33,,,
May,0.55,2.08,1.77,4.01,3.06,0.72,1.55,2.27,1.20,,,
June,1.37,2.50,2.75,2.83,0.93,0.99,2.75,1.23,1.12,,,
July,3.33,2.29,2.12,2.48,0.33,4.17,4.92,3.89,2.50,,,
August,4.36,1.96,2.20,2.18,0.29,2.54,4.28,2.60,1.10,,,
September,0.96,3.54,2.66,2.76,1.88,2.21,2.75,2.08,0.94,,,
October,0.65,2.40,1.91,5.41,4.67,3.69,2.00,2.56,,,,
November,6.88,3.65,2.28,5.37,1.58,1.98,1.69,1.03,,,,
December,2.39,3.62,2.70,4.23,5.05,3.19,3.52,3.40,,,,
Total,32.90,32.55,24.00,36.13,24.61,27.64,30.27,29.94,,,,
Calc annual,32.90,32.55,24.00,36.13,24.61,27.64,30.27,29.94,14.66,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,NaN,NaN,,
