"CAWDOR CASTLE",,,,,,,,,,,,
Grid ref,NH847498,Long,-3.926879,Lat,57.523626,,,,,,,
Station no,5686,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.33,2.46,1.57,2.14,1.59,1.49,2.86,3.15,2.97,3.01,,
February,2.16,1.48,1.92,1.24,2.51,1.93,1.90,2.93,0.79,2.02,,
March,1.61,1.75,1.03,1.76,1.42,0.81,3.52,1.21,1.20,0.40,,
April,4.94,0.73,3.02,1.16,1.13,2.01,0.65,1.71,3.07,1.46,,
May,0.59,1.49,3.43,3.92,2.62,1.28,0.95,2.80,0.54,0.27,,
June,3.36,2.03,3.23,2.35,0.83,2.43,1.82,2.08,2.24,3.08,,
July,3.56,2.07,3.71,3.73,0.57,7.23,5.72,3.63,2.46,2.67,,
August,5.34,3.97,2.86,2.90,0.55,5.26,5.96,3.48,1.36,9.59,,
September,0.63,2.34,2.53,2.54,2.02,3.23,1.82,2.49,0.59,2.58,,
October,1.30,2.29,1.03,6.30,4.06,3.27,1.72,2.44,3.06,2.66,,
November,4.26,2.80,2.62,1.89,0.73,2.01,2.23,0.84,3.16,1.43,,
December,4.63,2.35,2.57,4.91,6.25,3.42,2.96,1.94,1.63,1.67,,
Total,34.71,25.76,29.52,34.84,24.28,34.37,32.11,28.70,23.07,30.84,,
Calc annual,34.71,25.76,29.52,34.84,24.28,34.37,32.11,28.70,23.07,30.84,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
