"CHRISTCHURCH (HURNBRIDGE)",,,,,,,,,,,,
Grid ref,SZ126967,Long,-1.822689,Lat,50.769751,,,,,,,
Station no,619,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.14,1.10,0.82,1.32,3.28,4.77,2.74,4.43,3.76,3.77,,
February,6.69,0.07,1.56,2.94,2.13,0.05,1.72,2.65,0.23,2.97,,
March,4.29,1.75,0.45,4.22,1.17,0.94,2.72,1.27,3.40,1.87,,
April,2.64,1.57,1.98,0.21,0.49,1.68,0.10,0.77,2.66,1.75,,
May,3.25,1.21,2.73,1.98,3.63,0.67,0.58,2.33,0.55,1.79,,
June,0.60,0.82,1.68,2.28,2.79,2.63,2.99,4.24,1.51,2.97,,
July,1.51,0.12,2.89,2.67,1.41,3.24,2.97,1.71,2.79,3.96,,
August,4.48,2.31,1.73,2.94,0.62,2.67,3.47,3.78,2.97,4.77,,
September,3.00,3.78,3.48,3.05,1.87,3.21,3.55,4.87,0.55,5.97,,
October,1.35,4.82,2.29,3.45,4.97,2.50,4.07,3.53,3.60,9.99,,
November,10.28,4.52,1.98,5.17,3.17,0.28,1.27,2.51,4.04,5.97,,
December,1.78,2.83,0.85,2.84,5.37,4.37,3.42,4.05,7.71,3.57,,
Total,44.01,24.90,22.44,33.07,30.90,27.01,29.60,36.14,33.77,49.35,,
Calc annual,44.01,24.90,22.44,33.07,30.90,27.01,29.60,36.14,33.77,49.35,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
