"EXTON (WHINFIELD HOUSE)",,,,,,,,,,,,
Grid ref,SX985866,Long,-3.437687,Lat,50.670189,,,,,,,
Station no,1763/5/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,3.42,4.29,3.45,,
February,,,,,,,,3.36,0.31,4.74,,
March,,,,,,,,1.78,4.73,2.41,,
April,,,,,,,,0.33,3.09,2.92,,
May,,,,,,,,2.20,1.12,1.82,,
June,,,,,,,,3.31,1.18,0.81,,
July,,,,,,,,2.32,2.46,3.63,,
August,,,,,,,,3.15,3.29,3.83,,
September,,,,,,,,2.97,0.27,8.19,,
October,,,,,,,,2.38,2.68,10.97,,
November,,,,,,,,2.65,7.38,3.66,,
December,,,,,,,,4.54,6.73,3.06,,
Total,,,,,,,,32.41,37.53,49.49,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.41,37.53,49.49,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
