"HASTINGS (WHITE ROCK)",,,,,,,,,,,,
Grid ref,TQ809094,Long,0.568812,Lat,50.855821,,,,,,,
Station no,537/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.73,2.63,1.12,1.40,4.26,5.26,1.88,3.62,3.41,3.59,,
February,5.56,1.46,1.46,2.43,1.75,1.16,4.71,2.77,0.05,2.24,,
March,2.88,3.01,0.30,3.22,1.47,0.41,1.49,1.19,1.70,2.37,,
April,1.82,0.93,1.78,0.41,0.32,1.40,0.28,1.25,2.04,1.20,,
May,1.46,1.35,1.13,2.21,4.74,0.60,1.33,2.23,0.56,3.18,,
June,0.85,0.87,1.63,2.35,1.90,1.93,0.58,3.88,0.56,1.98,,
July,1.76,0.58,2.33,3.46,0.77,2.10,4.40,2.20,1.31,2.10,,
August,4.06,4.75,2.68,3.18,1.95,2.95,1.62,3.51,0.52,4.28,,
September,3.89,4.04,3.97,3.16,1.90,2.50,3.18,2.66,0.20,2.52,,
October,2.69,2.63,2.80,3.14,4.36,1.64,1.78,3.92,3.43,6.40,,
November,5.47,4.01,1.78,5.03,1.25,0.78,3.24,2.17,5.99,6.62,,
December,2.70,3.43,0.85,1.94,3.95,3.88,1.52,4.00,7.07,4.88,,
Total,36.87,29.69,21.83,31.93,28.62,24.61,26.01,33.40,26.84,41.36,,
Calc annual,36.87,29.69,21.83,31.93,28.62,24.61,26.01,33.40,26.84,41.36,,
Difference,-0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
