"ARDROSSAN MILL GLEN FILTERS",,,,,,,,,,,,
Grid ref,NS235444,Long,-4.807362,Lat,55.660952,,,,,,,
Station no,5210/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.69,5.26,2.58,4.11,3.22,3.24,4.14,5.01,1.63,3.72,,
February,2.66,1.50,1.67,4.37,2.66,1.55,2.29,4.89,1.51,3.22,,
March,3.33,3.13,0.71,2.63,1.73,2.70,5.02,1.28,2.41,2.32,,
April,2.08,1.63,1.42,1.20,3.39,1.09,2.27,1.61,2.97,3.44,,
May,2.18,1.72,2.39,2.63,3.53,1.90,2.60,2.91,1.17,2.56,,
June,2.12,3.09,1.25,3.21,3.30,2.71,2.34,2.71,2.71,2.31,,
July,2.41,2.55,4.54,4.13,1.14,5.69,4.46,4.94,4.63,4.96,,
August,3.97,4.08,3.37,5.20,1.53,5.97,3.82,4.37,0.56,5.33,,
September,3.63,2.89,4.91,5.79,4.31,4.84,3.36,3.23,1.45,4.03,,
October,1.05,5.09,3.78,9.14,2.42,2.72,5.31,3.68,5.53,3.17,,
November,5.24,2.98,5.20,6.05,2.46,1.91,1.98,2.06,3.78,5.44,,
December,6.28,4.35,4.74,5.13,6.83,5.25,4.54,6.18,6.77,5.26,,
Total,39.64,38.27,36.56,53.59,36.52,39.57,42.13,42.87,35.12,45.76,,
Calc annual,39.64,38.27,36.56,53.59,36.52,39.57,42.13,42.87,35.12,45.76,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
