"GLENDEVON (FRANDY BURN)",,,,,,,,,,,,
Grid ref,NN932032,Long,-3.723378,Lat,56.209361,,,,,,,
Station no,5529/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,10.13,5.62,1.56,6.42,,
February,,,,,,,5.28,4.78,3.42,7.28,,
March,,,,,,,6.35,2.91,5.92,4.18,,
April,,,,,,,3.33,3.57,4.60,5.33,,
May,,,,,,,2.93,5.11,1.41,3.52,,
June,,,,,,,2.30,4.33,3.74,3.63,,
July,,,,,,,6.68,5.43,7.03,5.28,,
August,,,,,,,6.56,5.86,2.82,5.02,,
September,,,,,,,3.12,8.31,1.32,4.22,,
October,,,,,,,5.76,2.35,6.52,7.48,,
November,,,,,,,3.58,2.58,10.08,8.48,,
December,,,,,,,9.27,15.64,13.67,9.14,,
Total,,,,,,,65.29,66.49,62.09,69.98,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,65.29,66.49,62.09,69.98,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,0.00,,
