"BLYTH (COWPEN SEW. WKS)",,,,,,,,,,,,
Grid ref,NZ255822,Long,-1.601587,Lat,55.133516,,,,,,,
Station no,3583/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,2.09,2.52,3.80,,
February,,,,,,,,3.03,0.34,2.23,,
March,,,,,,,,3.03,0.74,1.32,,
April,,,,,,,,1.62,1.61,0.84,,
May,,,,,,,,2.23,0.34,2.71,,
June,,,,,,,,2.31,2.05,0.62,,
July,,,,,,,,2.52,1.99,3.35,,
August,,,,,,,,2.10,0.10,2.60,,
September,,,,,,,,2.12,0.84,1.88,,
October,,,,,,,,1.37,1.26,5.02,,
November,,,,,,,,0.64,3.13,3.06,,
December,,,,,,,,3.37,3.31,2.72,,
Total,,,,,,,,26.43,18.23,30.15,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.43,18.23,30.15,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
