"WERRINGTON",,,,,,,,,,,,
Grid ref,SJ970474,Long,-2.046176,Lat,53.023883,,,,,,,
Station no,2364/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.66,3.43,1.25,,,,,,,,,
February,3.00,1.29,1.98,,,,,,,,,
March,4.50,1.92,1.73,,,,,,,,,
April,2.71,3.27,2.80,,,,,,,,,
May,3.10,2.62,2.38,,,,,,,,,
June,1.81,2.85,3.34,,,,,,,,,
July,1.89,3.23,4.45,,,,,,,,,
August,5.28,1.96,3.35,,,,,,,,,
September,2.61,2.62,2.82,,,,,,,,,
October,1.12,4.00,2.07,,,,,,,,,
November,8.42,2.11,,,,,,,,,,
December,3.69,3.68,,,,,,,,,,
Total,40.79,32.98,,,,,,,,,,
Calc annual,40.79,32.98,26.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
