"WALSALL (BESCOT SEWAGE FARM)",,,,,,,,,,,,
Grid ref,SP007966,Long,-1.991105,Lat,52.567227,,,,,,,
Station no,2329,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.97,2.05,0.96,1.30,2.07,3.45,1.13,1.63,3.00,5.52,,
February,2.58,0.39,1.94,2.26,1.97,0.49,2.29,4.12,0.20,1.87,,
March,4.40,1.85,1.41,2.07,2.92,1.05,2.41,1.39,1.93,1.87,,
April,2.06,2.18,2.58,0.51,1.32,1.83,0.17,0.71,3.08,1.19,,
May,3.24,2.69,1.73,3.01,4.60,0.73,1.17,1.93,0.81,1.23,,
June,1.03,1.77,2.56,3.49,2.25,1.82,1.26,3.75,1.04,2.23,,
July,0.95,1.22,3.14,3.53,0.42,2.95,3.85,4.26,1.82,3.78,,
August,4.74,2.96,2.49,4.88,0.93,4.73,3.87,2.40,3.20,3.44,,
September,2.33,1.37,2.38,1.74,1.95,2.91,4.00,3.56,0.17,5.18,,
October,0.97,3.62,1.85,3.46,1.49,1.39,1.44,2.47,2.53,4.90,,
November,6.55,2.27,1.69,5.29,2.77,0.81,2.26,1.75,3.70,3.42,,
December,2.56,3.26,1.24,2.42,1.96,2.96,1.97,2.96,3.93,2.92,,
Total,33.38,25.63,23.97,33.96,24.65,25.12,25.82,30.93,25.41,37.55,,
Calc annual,33.38,25.63,23.97,33.96,24.65,25.12,25.82,30.93,25.41,37.55,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
