"BEINN IME SOUTH N.G.",,,,,,,,,,,,
Grid ref,NN270080,Long,-4.792607,Lat,56.232972,,,,,,,
Station no,5437/4/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,19.15,4.61,9.59,,
February,,,,,,,,8.15,6.93,13.10,,
March,,,,,,,,3.49,12.44,4.88,,
April,,,,,,,,6.29,11.16,13.98,,
May,,,,,,,,10.32,3.62,6.36,,
June,,,,,,,,5.03,7.78,7.92,,
July,,,,,,,,7.80,15.52,10.42,,
August,,,,,,,,14.90,8.47,6.72,,
September,,,,,,,,12.13,4.18,6.41,,
October,,,,,,,17.70,14.31,13.87,6.97,,
November,,,,,,,7.73,5.19,14.69,15.70,,
December,,,,,,,18.61,13.49,23.72,17.78,,
Total,,,,,,,,120.25,126.99,119.83,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,44.04,120.25,126.99,119.83,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,0.00,,
