"KILBIRNIE (HOLEHOUSE FILTERS)",,,,,,,,,,,,
Grid ref,NS309560,Long,-4.697043,Lat,55.767697,,,,,,,
Station no,5252,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.69,8.37,4.20,7.75,4.16,5.81,8.35,8.03,2.79,5.35,,
February,4.21,3.96,4.20,6.14,3.85,2.99,3.84,5.49,2.35,5.85,,
March,4.84,5.26,1.84,4.43,2.14,4.75,7.84,2.07,4.40,2.72,,
April,4.25,3.25,3.29,3.55,6.18,2.53,3.60,2.98,4.11,6.64,,
May,2.16,1.99,3.02,4.28,6.04,4.40,3.31,5.43,2.51,3.01,,
June,3.00,4.67,2.12,5.54,4.47,3.95,2.96,3.25,3.97,3.80,,
July,5.31,5.31,7.18,5.65,2.12,7.13,7.29,5.98,7.36,5.89,,
August,5.86,7.34,5.07,8.06,1.81,7.09,6.13,5.40,1.71,5.12,,
September,5.54,5.95,7.76,9.28,7.06,6.00,4.63,5.72,1.96,5.18,,
October,1.90,7.54,5.02,13.12,4.45,4.75,8.72,5.98,8.48,3.44,,
November,8.53,3.80,10.17,10.42,3.43,3.69,3.47,3.78,6.92,8.14,,
December,11.33,8.25,7.44,10.91,11.13,8.17,7.66,8.03,10.20,9.26,,
Total,64.62,65.69,61.31,89.13,56.84,61.26,67.80,62.14,56.76,64.40,,
Calc annual,64.62,65.69,61.31,89.13,56.84,61.26,67.80,62.14,56.76,64.40,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,,
