"CADDONFOOT (FAIRNILEE)",,,,,,,,,,,,
Grid ref,NT456332,Long,-2.864662,Lat,55.589382,,,,,,,
Station no,5064,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.29,3.98,0.65,3.91,2.56,3.07,4.92,2.73,1.98,4.44,,
February,2.94,0.89,1.15,2.57,2.40,2.30,3.92,3.50,0.65,3.91,,
March,3.21,1.38,0.66,2.68,2.17,1.82,2.12,2.19,1.46,2.40,,
April,2.69,1.51,2.95,0.94,0.65,0.82,1.29,1.18,2.79,2.26,,
May,2.86,2.45,2.67,5.70,2.30,1.15,1.92,2.17,0.60,2.13,,
June,1.77,2.05,1.95,2.93,1.04,2.69,1.37,3.78,3.21,1.18,,
July,2.79,1.63,3.44,2.89,1.88,4.52,3.50,6.59,2.00,2.58,,
August,4.89,3.63,2.35,5.62,0.83,9.37,4.95,3.55,0.71,3.98,,
September,1.93,1.75,3.08,4.36,1.26,3.27,1.96,2.30,0.88,1.66,,
October,0.27,4.25,1.81,5.59,1.75,2.38,2.67,2.15,3.18,4.37,,
November,7.26,3.81,3.45,5.12,1.65,0.99,1.61,0.86,6.31,3.69,,
December,3.25,4.25,1.95,4.34,5.52,3.89,2.89,5.35,4.27,3.87,,
Total,38.15,31.58,26.11,46.65,24.01,36.27,33.12,36.35,28.04,36.47,,
Calc annual,38.15,31.58,26.11,46.65,24.01,36.27,33.12,36.35,28.04,36.47,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
