"HESSLE (SANFORD)",,,,,,,,,,,,
Grid ref,TA026262,Long,-0.446576,Lat,53.722127,,,,,,,
Station no,3392/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.88,1.80,1.00,1.80,1.18,5.47,1.39,1.92,2.24,4.19,,
February,2.62,0.62,1.67,2.23,2.16,1.76,1.93,4.07,0.30,1.69,,
March,2.91,2.33,0.53,2.00,2.19,1.40,1.54,1.67,1.75,1.06,,
April,1.12,1.08,2.02,0.24,0.85,1.66,0.24,1.28,2.86,1.13,,
May,4.44,1.40,1.99,3.60,2.93,0.51,1.73,2.47,0.31,0.67,,
June,1.19,2.26,3.10,1.65,2.17,2.43,2.79,3.89,0.88,0.41,,
July,1.51,1.96,2.13,2.25,0.87,3.53,4.34,4.40,1.85,3.72,,
August,5.27,1.20,3.05,5.96,0.71,5.06,2.66,2.00,0.22,1.98,,
September,1.10,3.63,0.88,1.90,0.91,1.27,3.68,1.68,0.31,2.02,,
October,0.96,2.25,1.80,3.76,1.87,1.12,1.54,1.54,2.31,5.69,,
November,3.75,2.68,1.62,4.42,0.86,0.71,2.24,0.64,2.37,3.95,,
December,1.71,1.48,1.37,2.44,2.66,1.51,1.91,3.40,3.03,3.03,,
Total,28.46,22.69,21.16,32.25,19.36,26.43,25.99,28.96,18.43,29.54,,
Calc annual,28.46,22.69,21.16,32.25,19.36,26.43,25.99,28.96,18.43,29.54,,
Difference,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
