"CHATTERIS (THE VICARAGE)",,,,,,,,,,,,
Grid ref,TL395858,Long,0.051410,Lat,52.452350,,,,,,,
Station no,1217/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.40,1.54,1.02,0.90,1.59,3.47,1.02,2.13,2.91,2.51,,
February,2.45,0.53,1.47,2.00,2.11,0.72,2.17,3.05,0.21,1.24,,
March,2.96,2.72,0.56,2.54,1.50,0.39,1.60,1.12,2.02,1.91,,
April,2.43,1.48,1.50,0.24,0.57,1.14,0.26,0.81,1.26,0.31,,
May,2.99,1.92,1.91,3.20,2.57,0.82,1.19,2.84,0.57,1.00,,
June,1.45,1.05,3.28,2.22,2.61,2.48,1.80,4.89,0.46,2.34,,
July,0.67,0.46,2.39,2.81,0.23,3.58,2.58,2.66,1.94,3.20,,
August,3.03,3.47,2.53,4.51,0.75,4.73,1.77,2.88,0.92,2.68,,
September,1.77,1.93,0.74,1.79,1.14,1.25,4.45,3.19,0.04,3.10,,
October,0.97,2.21,2.14,1.88,1.87,1.48,1.34,2.06,1.60,4.11,,
November,2.56,2.81,1.23,3.70,0.91,1.02,1.75,1.32,1.36,3.18,,
December,1.33,1.66,0.66,2.07,1.53,2.17,1.80,2.29,3.41,2.90,,
Total,25.01,21.78,19.43,27.86,17.38,23.25,21.73,29.24,16.70,28.48,,
Calc annual,25.01,21.78,19.43,27.86,17.38,23.25,21.73,29.24,16.70,28.48,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
