"STOCKING PELHAM (WHITE HART FARM)",,,,,,,,,,,,
Grid ref,TL453291,Long,0.112403,Lat,51.941435,,,,,,,
Station no,970/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,,,
August,,,,,,,,,,,,
September,3.09,,,,,,,,,,,
October,1.25,,,,,,,,,,,
November,4.35,,,,,,,,,,,
December,1.74,,,,,,,,,,,
Total,,,,,,,,,,,,
Calc annual,10.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
