"PETERSFIELD (OAKLEA)",,,,,,,,,,,,
Grid ref,SU750236,Long,-0.932395,Lat,51.006906,,,,,,,
Station no,729/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,3.20,1.10,2.23,4.50,6.09,4.13,,,,,
February,,1.03,2.05,3.64,2.42,0.14,5.90,,,,,
March,,3.60,0.80,4.02,1.54,0.71,2.43,,,,,
April,,2.33,2.74,0.39,0.47,1.73,0.36,,,,,
May,,3.40,3.32,3.24,6.20,0.28,1.42,,,,,
June,,1.51,2.72,3.64,2.81,2.95,2.05,,,,,
July,,0.63,4.42,3.36,0.80,3.92,6.34,,,,,
August,,4.26,2.67,3.46,1.11,4.66,2.52,,,,,
September,,3.64,3.09,3.76,2.91,3.96,3.68,,,,,
October,,5.14,4.29,3.54,5.20,2.06,2.54,,,,,
November,,4.92,1.96,7.26,3.62,0.85,3.68,,,,,
December,,2.94,0.92,4.08,5.13,7.06,,,,,,
Total,,36.60,30.08,42.62,36.71,34.41,,,,,,
Calc annual,0.00,36.60,30.08,42.62,36.71,34.41,35.05,0.00,0.00,0.00,,
Difference,NaN,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,,
