"BLITHFIELD RESERVOIR",,,,,,,,,,,,
Grid ref,SK071226,Long,-1.896132,Lat,52.800913,,,,,,,
Station no,2361/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.21,2.91,0.81,1.33,2.08,3.57,1.26,1.99,2.78,5.12,,
February,2.64,0.73,1.61,2.54,2.17,0.60,2.06,4.11,0.40,1.87,,
March,3.96,1.96,1.20,2.06,2.72,1.50,1.96,1.45,1.83,1.80,,
April,1.91,2.37,2.49,0.37,1.31,1.27,0.24,0.59,2.93,1.19,,
May,3.48,3.00,2.48,2.51,3.87,0.81,0.99,1.88,0.87,1.69,,
June,1.94,3.01,2.95,4.04,3.41,2.34,2.08,4.21,0.77,3.01,,
July,0.97,1.44,2.64,2.86,0.91,2.27,3.30,5.14,1.12,3.59,,
August,5.54,1.67,2.71,4.52,0.87,4.52,5.89,3.19,0.83,4.85,,
September,1.97,1.28,1.95,2.30,2.24,2.40,5.76,2.77,0.24,4.69,,
October,0.74,3.48,1.37,4.30,1.81,1.68,1.68,2.38,2.36,5.48,,
November,6.36,1.55,1.63,4.71,2.34,0.87,1.93,1.48,3.82,3.64,,
December,2.74,3.52,1.01,3.33,1.97,2.97,1.08,3.20,3.34,3.09,,
Total,34.46,26.92,22.85,34.87,25.70,24.80,28.23,32.39,21.29,40.02,,
Calc annual,34.46,26.92,22.85,34.87,25.70,24.80,28.23,32.39,21.29,40.02,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
