"SHREWSBURY (BICTON HEATH)",,,,,,,,,,,,
Grid ref,SJ453132,Long,-2.811150,Lat,52.713680,,,,,,,
Station no,2289/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,3.02,1.24,1.82,4.42,4.64,,
February,,,,,,0.44,2.19,3.39,0.20,2.16,,
March,,,,,,1.24,1.50,0.82,1.78,1.39,,
April,,,,,,1.71,0.49,0.44,3.31,1.14,,
May,,,,,,0.45,1.45,1.74,2.97,1.39,,
June,,,,,,1.37,1.78,4.52,2.19,1.75,,
July,,,,,,3.09,2.97,5.50,1.78,2.81,,
August,,,,,,4.43,5.27,3.02,0.94,3.27,,
September,,,,,,2.60,5.20,7.38,0.13,4.52,,
October,,,,,,1.62,1.83,2.44,2.64,5.15,,
November,,,,,,0.70,1.78,1.79,2.45,4.12,,
December,,,,,,2.38,0.97,2.43,4.29,2.95,,
Total,,,,,,23.05,26.67,35.29,27.10,35.29,,
Calc annual,0.00,0.00,0.00,0.00,0.00,23.05,26.67,35.29,27.10,35.29,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,,
