"MOURNE MOUNTAINS (SLIEVE BEARNAGH)",,,,,,,,,,,,
Grid ref,IJ314279,Long,-5.987780,Lat,54.183361,,,,,,,
Station no,6197/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.35,6.10,2.85,3.35,6.90,5.60,9.35,8.15,3.70,7.30,,
February,4.10,1.25,2.95,9.55,7.20,1.85,4.00,6.65,2.60,6.15,,
March,5.10,4.65,1.50,7.80,2.30,2.56,9.70,2.00,7.20,5.20,,
April,2.40,3.95,2.45,1.30,4.20,1.75,2.75,2.00,4.50,5.40,,
May,3.10,1.50,4.40,6.20,4.95,2.25,4.60,6.00,2.00,2.70,,
June,3.10,4.10,3.10,4.40,7.30,5.00,1.60,9.15,3.20,5.20,,
July,4.50,2.85,8.10,5.80,2.30,5.80,9.35,5.25,4.50,10.00,,
August,7.55,5.20,6.10,5.10,2.05,10.20,7.65,10.15,1.50,6.10,,
September,6.40,3.10,5.95,7.35,3.55,6.58,10.75,10.00,2.45,5.15,,
October,1.55,6.55,5.70,11.65,3.10,5.05,7.55,4.20,8.15,9.50,,
November,9.10,5.15,7.45,10.95,4.35,3.10,3.50,4.15,7.00,8.75,,
December,7.40,5.55,6.25,7.20,7.10,7.40,9.40,5.95,12.00,6.55,,
Total,60.65,49.95,56.80,80.65,55.30,57.14,80.20,73.65,58.80,78.00,,
Calc annual,60.65,49.95,56.80,80.65,55.30,57.14,80.20,73.65,58.80,78.00,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
