"STALYBRIDGE (MARKET GROUND YARD)",,,,,,,,,,,,
Grid ref,SJ964983,Long,-2.055715,Lat,53.481408,,,,,,,
Station no,2751,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.42,4.58,1.94,4.18,2.60,5.31,2.84,3.84,3.62,5.31,,
February,2.95,1.40,2.60,2.88,1.62,1.36,2.61,5.20,0.35,2.29,,
March,4.62,2.44,2.58,2.48,1.98,1.25,3.59,2.49,1.75,0.66,,
April,2.65,3.76,2.38,0.94,2.12,2.94,0.43,1.17,2.50,2.23,,
May,1.48,2.08,2.82,3.24,3.73,1.20,1.32,2.83,0.70,1.93,,
June,1.36,2.84,3.56,3.23,2.47,3.50,2.53,4.72,2.63,1.69,,
July,3.52,4.18,6.33,7.02,1.17,6.12,4.44,4.84,3.99,6.03,,
August,5.61,2.65,4.90,5.75,0.66,10.54,5.34,5.28,0.40,6.37,,
September,2.61,3.54,2.50,4.84,2.17,2.72,6.66,4.59,0.22,3.32,,
October,1.03,3.76,2.18,7.47,2.13,2.75,4.81,3.55,3.51,3.45,,
November,6.37,2.73,3.73,5.61,1.80,1.74,1.97,1.50,3.98,5.98,,
December,6.04,3.77,1.60,6.38,4.68,4.30,4.47,3.20,5.33,4.03,,
Total,42.66,37.73,37.12,54.02,27.13,43.73,41.01,43.21,28.98,43.29,,
Calc annual,42.66,37.73,37.12,54.02,27.13,43.73,41.01,43.21,28.98,43.29,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,,
