"SUDBURY (BELCHAMP HALL)",,,,,,,,,,,,
Grid ref,TL826407,Long,0.660644,Lat,52.034636,,,,,,,
Station no,1328/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.75,2.33,0.86,1.29,1.86,2.82,1.21,2.12,1.70,1.96,,
February,3.81,0.56,1.06,1.86,1.83,0.50,2.17,2.40,0.10,1.18,,
March,2.80,2.67,0.35,1.85,1.18,0.51,1.29,0.63,1.73,1.63,,
April,2.56,1.46,2.32,0.29,0.24,0.71,0.15,1.13,1.85,0.55,,
May,2.41,0.61,1.51,1.85,2.48,0.49,0.85,2.37,0.47,0.82,,
June,1.34,1.09,3.65,2.97,2.26,2.04,1.35,4.92,1.23,1.01,,
July,1.50,0.73,2.54,3.13,0.14,2.46,2.59,2.72,2.37,2.84,,
August,2.38,2.73,1.86,3.30,1.37,4.46,2.44,4.47,0.60,2.96,,
September,3.55,3.14,1.70,1.05,2.15,1.32,2.58,2.98,0.05,3.56,,
October,0.64,1.89,2.00,1.73,4.02,2.34,2.02,1.87,1.76,5.41,,
November,3.77,4.18,1.52,3.54,0.75,0.60,2.32,1.24,2.01,2.98,,
December,1.30,2.02,0.65,2.26,1.77,1.95,1.63,2.65,3.26,2.56,,
Total,27.81,23.41,20.02,25.12,20.05,20.20,20.60,29.50,17.13,27.46,,
Calc annual,27.81,23.41,20.02,25.12,20.05,20.20,20.60,29.50,17.13,27.46,,
Difference,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
