"GELTSDALE (OLD WATER)",,,,,,,,,,,,
Grid ref,NY590533,Long,-2.640433,Lat,54.872776,,,,,,,
Station no,3616/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,100.00,2.89,3.82,3.27,2.34,6.02,,
February,,,,,100.00,2.25,2.97,4.64,1.06,2.80,,
March,,,,,100.00,1.81,3.16,1.07,1.24,1.18,,
April,,,,,100.00,1.44,1.29,2.10,3.55,2.20,,
May,,,,,2.27,1.52,2.81,3.56,1.98,1.92,,
June,,,,,3.67,3.83,1.66,2.20,3.86,1.93,,
July,,,,,2.00,4.22,6.11,4.37,3.73,5.66,,
August,,,,,1.95,13.59,5.39,4.82,1.13,3.77,,
September,,,,,2.93,3.42,4.92,4.58,1.74,2.20,,
October,,,,,2.74,3.85,5.16,3.82,4.72,3.90,,
November,,,,,1.64,2.14,1.87,1.79,6.03,5.64,,
December,,,,,5.15,3.97,3.80,4.04,5.56,4.59,,
Total,,,,,100.00,44.93,42.96,40.26,36.94,41.81,,
Calc annual,0.00,0.00,0.00,0.00,422.35,44.93,42.96,40.26,36.94,41.81,,
Difference,NaN,NaN,NaN,NaN,-322.35,0.00,0.00,0.00,0.00,0.00,,
