"DORCHESTER (BIRKIN HOUSE)",,,,,,,,,,,,
Grid ref,SY712917,Long,-2.409373,Lat,50.724202,,,,,,,
Station no,1579,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.57,2.83,1.04,2.03,4.01,5.74,4.70,4.45,6.85,4.02,,
February,6.09,0.77,2.34,4.22,2.69,0.15,4.84,3.84,0.41,3.69,,
March,4.76,3.63,0.73,4.98,1.78,0.88,3.45,1.82,3.97,2.55,,
April,2.42,2.28,2.61,0.10,0.90,1.49,0.36,0.60,2.82,2.88,,
May,2.79,3.01,3.14,4.35,5.46,0.82,3.01,2.95,1.94,1.60,,
June,0.48,1.17,3.24,3.09,3.28,2.68,2.62,3.32,1.17,1.88,,
July,1.86,0.97,3.56,2.99,5.16,3.40,5.48,3.01,1.29,4.02,,
August,6.53,4.44,2.31,3.22,0.69,4.97,3.74,2.72,2.28,6.18,,
September,4.95,4.49,3.98,4.30,1.66,6.68,4.15,5.47,0.11,5.70,,
October,1.12,5.14,4.19,4.02,4.11,2.29,3.31,3.65,4.08,10.66,,
November,10.19,3.30,2.33,7.35,4.18,0.84,3.01,3.37,4.55,6.16,,
December,3.64,3.84,1.02,3.28,6.40,6.53,3.20,5.72,10.88,4.56,,
Total,49.40,35.87,30.49,43.93,40.32,36.47,41.87,40.92,40.35,53.90,,
Calc annual,49.40,35.87,30.49,43.93,40.32,36.47,41.87,40.92,40.35,53.90,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
