"MARKETHILL (WHITECROSS)",,,,,,,,,,,,
Grid ref,IH987313,Long,-6.487385,Lat,54.221225,,,,,,,
Station no,6192/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.61,5.35,1.84,3.28,4.07,2.52,4.54,3.70,2.85,3.72,,
February,4.48,1.10,1.80,5.24,3.95,1.62,3.04,3.32,1.43,3.46,,
March,4.14,1.96,0.63,3.63,1.16,2.56,3.81,0.84,3.75,2.58,,
April,2.56,1.17,2.09,0.76,3.40,1.23,1.52,1.28,2.95,3.61,,
May,1.71,1.30,1.93,4.75,3.14,1.46,1.89,2.00,1.51,2.82,,
June,2.61,4.01,2.14,2.49,4.78,3.37,1.20,5.44,1.60,2.16,,
July,5.09,2.67,4.61,4.08,1.87,4.44,3.74,3.99,3.98,3.54,,
August,5.54,4.54,3.44,2.78,1.39,6.43,5.00,5.82,1.08,4.77,,
September,2.77,1.41,3.87,4.87,3.07,4.04,3.65,4.88,1.81,3.13,,
October,1.00,5.01,2.03,6.88,1.78,2.81,4.18,2.85,5.11,4.89,,
November,6.97,3.29,3.39,6.47,2.54,2.51,1.45,2.07,3.58,4.40,,
December,5.32,5.35,3.21,5.42,5.17,6.28,5.81,5.04,6.76,3.03,,
Total,46.80,37.16,30.98,50.65,36.32,39.27,39.83,41.23,36.41,42.11,,
Calc annual,46.80,37.16,30.98,50.65,36.32,39.27,39.83,41.23,36.41,42.11,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
