"NEWBURY (GREENHAM COMMON)",,,,,,,,,,,,
Grid ref,SU481653,Long,-1.310191,Lat,51.384716,,,,,,,
Station no,788/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.25,2.35,,,,,,,,,,
February,5.73,0.94,,,,,,,,,,
March,3.94,2.58,,,,,,,,,,
April,3.32,2.06,,,,,,,,,,
May,2.74,2.80,,,,,,,,,,
June,0.32,1.95,,,,,,,,,,
July,1.40,0.46,,,,,,,,,,
August,4.52,3.70,,,,,,,,,,
September,3.13,2.14,,,,,,,,,,
October,0.82,4.87,,,,,,,,,,
November,8.08,3.16,,,,,,,,,,
December,3.11,2.29,,,,,,,,,,
Total,41.36,29.30,,,,,,,,,,
Calc annual,41.36,29.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
