"BURBAGE LOWER BURBAGE +A",,,,,,,,,,,,
Grid ref,SK258802,Long,-1.614178,Lat,53.318106,,,,,,,
Station no,2686,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.15,4.50,1.26,2.82,3.70,5.57,2.14,3.27,3.13,5.76,,
February,3.64,1.07,2.99,3.20,3.23,1.62,3.14,5.44,0.12,3.05,,
March,4.78,2.55,2.09,2.62,3.63,1.39,2.74,2.74,1.61,2.36,,
April,1.65,2.15,2.81,0.66,1.18,1.92,0.25,1.09,3.50,1.82,,
May,4.11,3.08,2.58,3.47,3.57,0.67,1.73,3.43,1.11,2.12,,
June,1.20,1.97,3.08,2.45,3.68,4.74,1.50,5.06,1.32,1.38,,
July,1.45,2.22,3.83,2.96,1.71,5.59,3.68,7.58,1.83,4.40,,
August,4.80,1.83,3.36,6.96,0.91,6.26,6.75,2.80,0.86,5.48,,
September,2.09,3.11,1.82,3.44,1.50,4.05,5.37,3.24,0.08,4.37,,
October,1.43,5.66,1.82,4.17,2.83,2.05,2.02,2.87,2.80,6.70,,
November,8.87,2.60,1.97,6.45,2.56,1.51,2.57,0.95,4.50,5.15,,
December,4.18,2.65,1.58,5.59,4.20,5.03,3.41,4.38,4.90,3.53,,
Total,41.35,33.39,29.19,44.79,32.70,40.40,35.30,42.85,25.76,46.12,,
Calc annual,41.35,33.39,29.19,44.79,32.70,40.40,35.30,42.85,25.76,46.12,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
