"KING'S LYNN (NORTH RUNCTON LODGE)",,,,,,,,,,,,
Grid ref,TF644163,Long,0.432628,Lat,52.719375,,,,,,,
Station no,1470/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.69,2.10,1.24,1.69,1.78,3.54,1.58,2.44,3.05,2.87,,
February,2.13,0.75,1.51,2.15,2.23,1.75,2.84,3.49,0.14,1.32,,
March,3.43,2.49,0.91,2.66,1.81,0.83,2.05,0.97,1.66,0.85,,
April,3.03,1.56,2.18,0.22,0.84,1.14,0.27,0.70,1.05,0.58,,
May,2.32,2.27,1.20,2.88,2.54,0.92,1.62,3.07,0.60,0.58,,
June,0.95,1.05,4.31,1.71,1.87,2.20,2.20,3.15,0.66,1.45,,
July,0.96,0.68,2.40,2.51,0.19,2.60,1.87,3.55,1.94,2.91,,
August,3.76,2.49,2.83,5.40,0.70,4.37,2.52,2.33,2.14,3.11,,
September,2.13,2.81,1.13,2.46,1.30,1.35,3.60,2.26,0.01,2.26,,
October,1.10,1.93,2.74,2.49,2.29,1.44,1.53,1.87,2.30,3.92,,
November,3.20,2.83,1.75,4.45,1.23,1.04,1.24,1.22,1.34,3.54,,
December,1.35,2.07,1.02,2.02,1.72,1.64,2.15,2.73,3.98,4.14,,
Total,27.05,23.03,23.22,30.64,18.50,22.82,23.47,27.78,18.87,27.53,,
Calc annual,27.05,23.03,23.22,30.64,18.50,22.82,23.47,27.78,18.87,27.53,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
