"MARKINCH (CARRISTON RESERVOIR) NEW SITE",,,,,,,,,,,,
Grid ref,NO327036,Long,-3.086843,Lat,56.220187,,,,,,,
Station no,1309213,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,3.99,1.99,1.26,4.35,,
February,,,,,,,3.88,3.18,0.56,2.43,,
March,,,,,,,2.22,2.87,1.47,2.77,,
April,,,,,,,0.93,3.17,2.75,1.37,,
May,,,,,,,1.58,2.60,0.69,1.17,,
June,,,,,,,1.95,2.76,2.70,2.05,,
July,,,,,,,5.18,5.87,4.31,2.46,,
August,,,,,,,5.48,3.52,0.75,3.67,,
September,,,,,,,1.85,2.44,0.68,1.60,,
October,,,,,,,2.58,2.29,1.79,5.84,,
November,,,,,,0.57,2.00,0.79,6.58,3.52,,
December,,,,,,2.71,3.50,7.06,5.00,2.35,,
Total,,,,,,,35.14,38.54,28.54,33.58,,
Calc annual,0.00,0.00,0.00,0.00,0.00,3.28,35.14,38.54,28.54,33.58,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
