"PLYNLIMON (LLYGAD RHEIDOL) HIGHER GAUGE",,,,,,,,,,,,
Grid ref,SN793875,Long,-3.778380,Lat,52.472048,,,,,,,
Station no,4129/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.20,8.30,5.50,8.00,4.60,9.20,10.20,6.50,7.00,8.00,,
February,8.30,5.30,6.30,6.20,4.50,1.60,5.80,12.10,2.00,5.00,,
March,11.20,5.20,5.60,4.80,4.10,3.00,7.30,2.10,4.00,2.60,,
April,6.50,4.20,5.80,3.00,7.20,2.80,1.00,3.40,5.60,4.08,,
May,3.20,3.68,5.00,4.40,8.00,3.10,3.20,6.60,2.00,2.10,,
June,3.24,6.60,2.80,7.80,8.40,4.50,3.10,5.60,4.50,4.20,,
July,7.20,3.70,12.30,13.70,2.10,6.10,10.60,7.28,4.60,8.00,,
August,11.30,5.00,9.10,10.20,2.70,10.00,10.40,-999.00,1.40,8.40,,
September,8.50,7.30,7.40,7.50,7.00,7.20,13.00,8.00,1.00,9.08,,
October,3.70,8.50,3.40,17.00,5.10,5.60,13.00,7.60,12.40,5.40,,
November,12.10,7.00,9.20,11.10,2.70,4.40,4.40,6.20,9.00,12.00,,
December,14.10,9.20,2.60,13.00,8.10,8.20,8.80,5.60,11.20,12.60,,
Total,98.54,73.98,75.00,106.70,64.50,65.70,90.80,76.08,64.70,81.46,,
Calc annual,98.54,73.98,75.00,106.70,64.50,65.70,90.80,70.98,64.70,81.46,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.10,0.00,0.00,,
