"WELLINGTON W.W. (WREKIN RES.)",,,,,,,,,,,,
Grid ref,SJ637096,Long,-2.538396,Lat,52.682870,,,,,,,
Station no,2298,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.55,3.56,0.73,1.96,2.79,3.79,1.63,1.96,3.20,4.96,,
February,3.47,0.71,2.20,2.76,1.59,0.46,1.76,3.31,0.24,2.29,,
March,5.68,1.94,1.23,2.26,4.14,1.53,2.13,2.13,2.20,1.83,,
April,2.20,2.27,3.54,0.69,1.50,2.03,0.18,0.59,3.60,1.42,,
May,4.84,4.22,2.61,3.29,5.69,1.36,1.38,2.18,1.36,2.41,,
June,1.26,2.76,3.02,3.07,3.73,2.80,2.41,5.86,1.92,2.51,,
July,2.48,0.97,3.58,2.94,0.73,2.45,2.91,4.08,2.70,3.31,,
August,4.24,3.15,3.01,6.41,1.92,4.78,4.87,3.79,1.09,2.76,,
September,2.84,2.15,3.14,2.16,2.67,3.63,5.14,5.07,0.24,5.23,,
October,1.04,5.07,2.47,5.00,1.47,2.31,1.94,2.75,2.82,6.02,,
November,8.77,3.30,2.03,7.34,2.81,0.89,2.23,1.84,3.44,4.24,,
December,3.28,3.32,1.44,2.64,2.90,2.93,1.29,3.01,4.34,2.92,,
Total,42.65,33.42,29.00,40.52,31.94,28.96,27.87,36.57,27.15,39.90,,
Calc annual,42.65,33.42,29.00,40.52,31.94,28.96,27.87,36.57,27.15,39.90,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
