"UPPER USK 2",,,,,,,,,,,,
Grid ref,SN811297,Long,-3.731571,Lat,51.953040,,,,,,,
Station no,4111/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.00,6.50,1.75,4.50,3.74,5.60,7.85,4.95,7.40,9.45,,
February,6.00,2.00,3.00,5.00,2.70,1.05,5.85,7.60,0.75,7.70,,
March,5.50,3.50,4.50,4.00,4.15,3.50,5.50,1.50,5.35,2.90,,
April,4.50,3.25,4.00,1.00,4.12,1.25,0.80,1.40,4.95,5.50,,
May,3.00,4.25,2.50,3.25,4.73,1.51,2.25,4.15,1.50,2.00,,
June,1.00,4.25,2.00,5.00,6.12,3.03,1.65,4.19,3.80,2.80,,
July,1.50,3.25,5.50,5.00,0.67,4.50,6.25,4.65,5.00,5.70,,
August,7.50,5.50,5.50,6.33,1.68,7.80,5.50,3.90,1.05,6.10,,
September,5.50,3.00,5.50,6.50,3.05,6.45,9.00,10.20,0.55,6.05,,
October,1.25,6.00,5.00,9.63,4.65,3.20,4.85,5.80,9.70,7.30,,
November,12.50,3.00,7.50,10.68,4.05,2.90,3.15,3.50,9.05,13.05,,
December,7.25,5.50,2.00,6.10,8.25,7.10,5.50,5.10,10.40,8.00,,
Total,62.50,50.00,48.75,66.99,47.91,-999.00,58.15,56.94,59.50,76.55,,
Calc annual,62.50,50.00,48.75,66.99,47.91,47.89,58.15,56.94,59.50,76.55,,
Difference,0.00,0.00,0.00,0.00,-0.00,-1046.89,0.00,-0.00,0.00,0.00,,
