"ST HELIER (HARBOUR OFFICE)",,,,,,,,,,,,
Grid ref,WV651483,Long,-2.106715,Lat,49.183074,,,,,,,
Station no,4425,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.81,4.51,0.71,2.90,3.35,5.29,1.67,5.59,4.36,3.25,,
February,3.73,1.51,1.55,2.52,3.83,0.39,6.36,4.08,0.07,3.32,,
March,3.31,3.88,0.23,2.86,1.68,0.69,1.59,3.33,1.71,2.37,,
April,1.79,1.59,3.34,1.10,0.28,0.90,0.95,0.63,3.32,1.22,,
May,3.55,0.95,1.55,1.18,2.18,1.11,0.75,2.69,1.67,2.23,,
June,1.38,0.33,0.88,1.64,2.00,1.51,1.04,3.15,0.69,1.41,,
July,1.30,1.16,2.15,1.87,1.23,1.91,1.61,1.05,0.58,3.06,,
August,4.78,3.15,1.49,2.93,0.63,5.76,2.46,3.27,1.90,3.66,,
September,4.34,7.22,1.92,3.29,2.98,1.90,3.04,2.05,0.87,2.29,,
October,0.91,4.60,1.77,2.12,3.16,1.99,1.02,3.91,3.48,5.85,,
November,6.15,5.09,1.76,3.97,1.18,1.18,2.99,2.80,4.72,5.17,,
December,4.09,5.53,0.92,2.63,4.38,3.88,3.18,3.50,6.68,6.35,,
Total,38.14,39.52,18.27,29.01,26.88,26.51,26.66,36.05,30.05,40.18,,
Calc annual,38.14,39.52,18.27,29.01,26.88,26.51,26.66,36.05,30.05,40.18,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
