"LIDGATE",,,,,,,,,,,,
Grid ref,TL728575,Long,0.526447,Lat,52.188668,,,,,,,
Station no,1386/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,0.52,,
May,,,,,,,,,,0.72,,
June,,,,,,,,,,2.02,,
July,,,,,,,,,,3.46,,
August,,,,,,,,,,3.40,,
September,,,,,,,,,,3.96,,
October,,,,,,,,,,4.97,,
November,,,,,,,,,,2.71,,
December,,,,,,,,,,3.09,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.85,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
