"STRACHUR (GLENBRANTER)",,,,,,,,,,,,
Grid ref,NS112973,Long,-5.039517,Lat,56.130963,,,,,,,
Station no,5434,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.20,10.16,7.72,9.79,5.35,7.98,14.14,10.73,3.69,5.60,,
February,5.95,4.70,6.11,7.00,8.09,3.11,6.77,5.87,3.26,8.65,,
March,6.26,7.78,3.41,5.89,2.36,5.30,9.16,2.35,8.51,3.59,,
April,6.38,4.45,5.34,4.21,6.18,3.92,3.57,3.85,7.69,9.88,,
May,2.73,2.18,4.46,4.74,6.16,5.66,2.13,6.92,3.16,4.47,,
June,2.52,5.39,0.98,7.11,6.04,6.43,4.00,3.50,5.31,3.12,,
July,7.28,5.00,9.39,5.41,1.04,7.74,8.28,4.80,8.65,8.01,,
August,6.99,7.53,8.72,6.76,2.37,5.85,8.97,6.99,4.06,4.09,,
September,6.48,5.94,14.76,12.00,10.31,8.48,5.31,6.45,2.72,4.53,,
October,3.85,11.03,8.35,14.44,9.66,6.77,11.53,9.66,10.78,6.33,,
November,14.32,3.57,18.55,16.91,5.62,6.44,4.26,3.01,10.10,11.67,,
December,16.39,9.96,9.71,16.84,14.84,17.89,12.04,11.09,16.26,12.71,,
Total,88.35,77.69,97.50,111.10,78.02,85.57,90.16,75.22,84.19,82.65,,
Calc annual,88.35,77.69,97.50,111.10,78.02,85.57,90.16,75.22,84.19,82.65,,
Difference,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
