"LITTLE DON VALLEY (UNDERBANK RES.)",,,,,,,,,,,,
Grid ref,SK247995,Long,-1.629186,Lat,53.491633,,,,,,,
Station no,3146,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.52,5.10,0.95,3.15,3.00,5.91,2.47,4.20,4.00,6.78,,
February,4.64,1.28,2.44,3.58,3.00,1.51,3.43,5.32,0.11,2.96,,
March,4.60,2.07,2.16,2.53,3.72,1.79,2.06,2.68,1.35,3.12,,
April,1.94,1.95,3.01,0.57,0.79,3.54,0.19,0.81,5.26,1.79,,
May,5.35,2.39,2.54,4.07,4.53,0.79,1.26,3.46,1.02,2.44,,
June,1.10,1.78,3.04,1.78,3.25,3.06,1.03,5.06,1.70,0.96,,
July,2.15,1.75,2.59,2.05,0.85,7.49,2.71,5.17,1.84,3.39,,
August,4.26,1.88,3.41,6.50,1.25,6.48,5.63,3.69,1.08,4.39,,
September,1.91,3.76,2.02,3.06,1.06,3.77,4.73,3.85,0.05,3.91,,
October,0.84,6.61,2.34,5.03,3.03,2.07,2.83,2.95,2.83,7.62,,
November,9.49,2.13,2.83,7.78,2.37,1.38,3.19,0.86,5.05,4.65,,
December,6.31,2.50,1.46,5.41,4.93,4.45,4.68,4.92,6.45,4.57,,
Total,46.11,33.20,28.79,45.51,31.78,42.24,34.21,42.97,30.74,46.58,,
Calc annual,46.11,33.20,28.79,45.51,31.78,42.24,34.21,42.97,30.74,46.58,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
