"INVERURIE (NORWOOD) UNCLEAR",,,,,,,,,,,,
Grid ref,NJ771218,Long,-2.381522,Lat,57.286243,,,,,,,
Station no,5649/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,4.14,,5.23,,
February,,,,,,,,,,3.47,,
March,,,,,,,,,,1.97,,
April,,,,,,,,,,1.40,,
May,,,,,,,,,1.45,0.72,,
June,,,,,,,,,2.24,1.61,,
July,,,,,,,8.06,,1.92,3.32,,
August,,,,,,,4.83,,0.74,4.86,,
September,,,,,,,3.39,,0.79,2.80,,
October,,,,,,,1.33,,4.82,8.88,,
November,,,,,,,1.93,,5.68,5.76,,
December,,,,,,,,,5.00,1.75,,
Total,,,,,,,,,,41.77,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,19.54,4.14,22.64,41.77,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
