"GREAT FRANSHAM",,,,,,,,,,,,
Grid ref,TF897133,Long,0.805029,Lat,52.684168,,,,,,,
Station no,1419/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.59,2.53,1.39,2.09,2.00,4.00,2.22,2.43,3.38,4.02,,
February,3.11,1.30,1.53,2.80,2.71,1.53,3.00,3.38,0.22,1.72,,
March,3.64,2.94,0.53,3.01,1.81,0.86,2.34,1.30,1.64,0.82,,
April,3.35,1.91,2.90,0.42,0.75,1.02,0.35,1.11,2.17,1.06,,
May,2.71,1.82,1.60,2.21,2.92,1.12,1.70,3.07,1.08,0.98,,
June,1.20,0.98,2.37,2.29,2.49,3.29,2.48,3.13,1.52,1.84,,
July,1.98,1.32,2.49,3.20,0.36,2.97,3.43,3.49,3.81,3.87,,
August,3.72,2.35,2.44,4.25,1.06,4.96,2.69,2.98,2.07,3.19,,
September,2.35,2.85,1.61,2.40,1.91,1.74,4.37,2.90,0.10,3.33,,
October,1.02,2.55,2.61,2.61,3.38,2.28,1.58,1.98,2.20,4.19,,
November,4.05,4.03,1.98,3.82,1.72,1.09,1.97,1.53,1.87,4.27,,
December,1.85,2.37,1.29,2.45,1.78,1.92,2.72,2.90,4.46,3.76,,
Total,32.57,26.95,22.74,31.55,22.89,26.78,28.85,30.20,24.52,33.05,,
Calc annual,32.57,26.95,22.74,31.55,22.89,26.78,28.85,30.20,24.52,33.05,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
