"HAWES WATER (LANDHILLS)",,,,,,,,,,,,
Grid ref,NY485153,Long,-2.797312,Lat,54.530346,,,,,,,
Station no,3676/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.05,7.20,2.93,6.43,6.80,5.07,16.45,9.62,7.17,13.38,,
February,7.42,0.79,2.52,6.30,2.88,0.95,8.31,8.29,2.16,12.00,,
March,4.32,4.26,1.25,6.39,2.24,2.59,7.04,1.49,6.05,1.85,,
April,7.18,4.86,5.45,0.97,1.74,1.42,1.61,2.67,8.17,7.43,,
May,2.17,3.08,3.28,5.34,7.07,3.35,3.66,7.46,2.07,2.75,,
June,1.78,3.82,3.43,4.55,4.15,4.04,1.76,5.23,5.30,5.22,,
July,3.43,2.22,7.30,3.91,2.87,5.42,3.94,4.99,5.17,5.69,,
August,6.50,6.40,5.71,6.04,3.18,9.59,8.08,4.27,1.15,4.25,,
September,10.88,7.03,8.27,17.49,3.39,5.97,7.64,8.30,1.17,3.54,,
October,1.02,9.03,5.09,17.78,4.95,6.40,9.25,7.51,7.54,5.57,,
November,15.95,4.00,9.18,17.10,3.63,2.95,2.31,1.27,12.32,20.32,,
December,16.54,6.00,4.52,9.57,10.15,12.77,10.30,7.65,16.70,10.91,,
Total,84.24,58.69,58.93,101.87,53.05,60.52,80.35,68.75,74.97,92.91,,
Calc annual,84.24,58.69,58.93,101.87,53.05,60.52,80.35,68.75,74.97,92.91,,
Difference,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
