"BIRMINGHAM WW (CALETTWR)",,,,,,,,,,,,
Grid ref,SN875701,Long,-3.651865,Lat,52.317439,,,,,,,
Station no,4241,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.75,9.10,3.80,6.40,5.70,10.50,7.90,7.10,9.75,11.00,,
February,7.68,4.85,3.95,7.10,4.50,2.00,7.10,11.85,1.60,10.45,,
March,10.30,3.30,7.25,5.35,4.55,6.40,7.22,2.15,4.55,4.00,,
April,7.50,3.90,5.50,3.60,5.30,3.15,0.70,3.20,7.70,6.90,,
May,3.36,3.90,3.90,3.85,7.10,1.60,3.20,4.20,2.60,2.70,,
June,1.40,5.19,1.85,6.90,8.30,3.60,2.85,5.60,3.90,3.70,,
July,2.80,3.00,9.20,9.10,0.95,5.40,10.35,5.20,5.20,8.93,,
August,6.65,5.80,6.10,8.10,2.30,9.60,10.80,5.15,0.90,5.70,,
September,5.55,6.20,7.80,8.90,5.40,7.60,14.40,9.80,0.50,6.90,,
October,2.20,6.80,3.75,11.40,5.60,5.30,7.60,9.10,11.35,6.50,,
November,15.44,6.15,-999.00,13.20,4.60,4.85,4.94,4.25,8.80,13.35,,
December,10.20,8.20,2.90,11.05,8.75,8.20,8.70,7.20,13.55,11.95,,
Total,80.83,66.39,63.35,94.95,63.05,68.20,85.76,74.80,70.40,92.08,,
Calc annual,80.83,66.39,56.00,94.95,63.05,68.20,85.76,74.80,70.40,92.08,,
Difference,0.00,0.00,7.35,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
