"ARDLAMONT (KILBRIDE)",,,,,,,,,,,,
Grid ref,NR960682,Long,-5.261582,Lat,55.863681,,,,,,,
Station no,5421,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.16,6.39,2.83,,,,,,,,,
February,3.13,2.19,2.14,,,,,,,,,
March,3.86,4.28,2.27,,,,,,,,,
April,2.84,2.18,1.92,,,,,,,,,
May,2.50,2.00,3.14,,,,,,,,,
June,2.73,3.07,1.86,,,,,,,,,
July,3.72,3.03,8.26,,,,,,,,,
August,4.71,6.38,5.54,,,,,,,,,
September,3.74,4.17,8.08,,,,,,,,,
October,2.23,4.74,,,,,,,,,,
November,9.16,3.00,,,,,,,,,,
December,10.47,6.89,,,,,,,,,,
Total,55.25,48.32,,,,,,,,,,
Calc annual,55.25,48.32,36.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
