"CHURT -FIR DOWN",,,,,,,,,,,,
Grid ref,SU859376,Long,-0.773751,Lat,51.131245,,,,,,,
Station no,171/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.41,2.55,1.25,2.05,4.03,,2.61,3.47,3.39,3.73,,
February,7.15,0.88,1.59,2.71,2.09,,4.51,2.61,0.24,3.55,,
March,5.48,2.55,0.62,2.85,1.64,,2.13,1.79,3.31,1.63,,
April,2.70,1.76,2.45,0.21,0.35,,0.35,0.97,3.03,0.68,,
May,2.91,2.96,2.47,2.89,4.07,,1.67,1.85,2.41,2.27,,
June,1.69,1.46,1.42,3.06,2.53,,1.42,3.39,1.60,1.59,,
July,2.04,0.35,4.02,2.69,0.26,,3.14,2.11,3.19,4.05,,
August,4.49,3.81,1.56,2.65,1.39,,3.06,4.37,2.31,3.52,,
September,2.66,3.82,2.47,2.49,2.20,,3.15,5.53,0.32,3.73,,
October,1.26,3.77,3.87,2.56,4.57,,2.04,2.82,2.50,9.13,,
November,10.24,4.23,1.58,6.25,2.81,,3.49,2.60,4.69,6.11,,
December,3.89,3.25,0.87,3.94,3.89,,3.17,3.98,7.49,4.61,,
Total,48.92,31.39,24.17,34.35,29.83,,30.74,35.49,34.48,44.60,,
Calc annual,48.92,31.39,24.17,34.35,29.83,0.00,30.74,35.49,34.48,44.60,,
Difference,0.00,0.00,-0.00,0.00,0.00,NaN,-0.00,0.00,0.00,0.00,,
