"MOSEDALE (MOSEDALE COTTAGE)",,,,,,,,,,,,
Grid ref,NY496095,Long,-2.779323,Lat,54.478338,,,,,,,
Station no,3662,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.20,9.50,6.01,8.60,9.70,7.15,20.35,10.53,6.37,14.90,,
February,9.00,2.50,4.00,7.30,3.50,2.31,9.82,9.84,4.53,12.72,,
March,6.00,9.01,2.00,7.30,4.60,3.19,10.12,2.36,8.59,2.75,,
April,6.50,7.76,5.90,2.70,3.40,2.20,3.00,3.48,10.56,7.50,,
May,2.20,3.50,4.80,7.30,7.80,6.24,5.67,9.14,1.87,4.22,,
June,2.30,7.14,4.50,10.30,7.80,5.00,3.05,6.23,7.40,7.10,,
July,6.45,4.02,14.75,7.84,3.50,7.70,8.03,6.42,8.41,9.33,,
August,9.70,11.10,11.00,10.06,3.35,13.00,10.05,7.32,1.93,5.77,,
September,13.10,9.75,15.70,18.80,6.80,7.30,9.55,12.15,2.11,6.00,,
October,1.45,10.86,5.85,25.00,7.40,9.15,16.30,11.00,14.25,6.45,,
November,21.10,7.51,18.30,25.00,5.15,3.25,3.90,2.10,13.52,20.00,,
December,20.20,9.52,7.90,22.00,19.50,13.75,9.15,8.55,20.52,13.51,,
Total,107.20,92.17,100.71,152.20,82.50,80.24,108.99,89.12,100.06,110.25,,
Calc annual,107.20,92.17,100.71,152.20,82.50,80.24,108.99,89.12,100.06,110.25,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,-0.00,,
