"LOCH AILSH (BEN MORE LODGE)",,,,,,,,,,,,
Grid ref,NC323114,Long,-4.843980,Lat,58.059873,,,,,,,
Station no,5799/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,7.71,8.97,11.52,2.73,100.00,9.67,7.51,5.49,4.49,,
February,,4.80,6.97,7.05,4.52,1.69,3.86,8.71,1.65,4.51,,
March,,3.85,3.91,4.64,2.67,1.93,6.97,3.55,2.85,1.56,,
April,,2.29,5.10,5.34,3.38,100.00,3.54,5.01,6.58,5.65,,
May,,7.73,4.42,5.90,5.21,100.00,2.60,6.71,4.45,2.44,,
June,,7.52,2.59,4.30,3.10,100.00,5.30,4.18,5.65,4.90,,
July,,4.21,7.90,,1.12,6.19,6.75,2.71,7.68,3.52,,
August,,6.41,7.54,,1.24,9.31,10.86,5.06,6.04,4.46,,
September,,8.32,9.49,,8.19,4.25,9.63,3.49,3.89,3.35,,
October,,7.77,5.64,,8.42,9.01,9.94,10.31,11.07,2.88,,
November,,7.72,18.20,6.71,-999.00,10.11,5.46,3.46,7.30,4.13,,
December,,9.25,11.89,15.13,-999.00,9.98,13.49,5.67,5.52,7.56,,
Total,,77.58,92.62,,-999.00,-999.00,88.07,66.37,68.17,49.45,,
Calc annual,0.00,77.58,92.62,60.59,40.58,452.47,88.07,66.37,68.17,49.45,,
Difference,NaN,0.00,0.00,NaN,-1039.58,-1451.47,0.00,0.00,0.00,-0.00,,
