"BATH (SOUTHSTOKE ROAD)",,,,,,,,,,,,
Grid ref,ST748615,Long,-2.363252,Lat,51.352012,,,,,,,
Station no,1980/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.25,2.53,0.87,2.53,3.43,4.71,2.93,2.95,3.84,3.87,,
February,4.51,0.94,1.72,3.79,1.74,0.29,3.43,4.07,0.27,2.73,,
March,3.54,3.08,0.64,3.85,1.32,1.11,2.55,1.33,3.29,2.78,,
April,3.50,1.65,2.71,0.44,1.18,1.43,0.18,1.04,2.43,1.61,,
May,2.62,4.61,1.88,2.35,4.40,0.43,2.80,2.54,1.45,1.02,,
June,1.29,2.45,1.48,4.78,3.72,2.28,1.40,5.42,2.32,3.10,,
July,1.33,0.98,2.81,2.83,0.30,2.81,4.15,3.03,2.15,3.60,,
August,4.90,4.67,2.77,3.37,0.95,4.44,4.05,2.85,1.87,4.70,,
September,4.13,3.41,3.58,4.32,1.75,3.10,3.79,5.39,0.16,4.51,,
October,0.91,4.69,2.79,3.34,1.63,2.11,2.74,2.41,2.66,7.91,,
November,8.46,4.43,1.73,7.12,3.49,0.63,2.81,2.54,4.45,4.91,,
December,2.74,2.90,0.96,2.49,4.34,4.28,2.68,3.78,6.84,4.81,,
Total,41.18,36.34,23.94,41.21,28.25,27.62,33.51,37.35,31.73,45.55,,
Calc annual,41.18,36.34,23.94,41.21,28.25,27.62,33.51,37.35,31.73,45.55,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
