"AIRDRIE (BROOMKNOLL STREET)",,,,,,,,,,,,
Grid ref,NS762651,Long,-3.979673,Lat,55.863131,,,,,,,
Station no,5183,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.68,2.88,1.70,3.87,2.39,2.08,4.62,3.08,1.17,3.03,,
February,1.91,0.95,1.29,2.75,1.80,1.61,2.75,2.54,1.36,2.82,,
March,3.39,2.08,0.94,2.12,1.76,2.49,3.33,1.30,1.33,1.73,,
April,2.25,1.87,2.38,1.65,1.30,0.86,1.52,1.56,2.30,2.12,,
May,2.02,1.26,1.89,3.28,2.97,1.78,2.11,3.30,0.95,2.44,,
June,3.23,2.14,1.52,3.04,1.89,2.82,2.57,3.06,2.71,2.06,,
July,3.68,2.25,4.37,3.37,1.37,5.03,3.25,4.84,4.45,3.53,,
August,5.20,3.49,2.57,6.06,1.27,4.35,4.10,4.53,0.55,2.32,,
September,2.77,2.01,3.15,4.73,2.88,4.60,2.37,3.34,1.16,2.27,,
October,0.87,3.02,1.92,9.34,2.80,2.55,3.13,2.67,3.65,2.54,,
November,6.00,2.38,6.27,5.75,1.66,1.23,2.15,1.57,4.76,4.53,,
December,4.82,3.19,4.05,5.50,5.70,3.74,3.37,4.90,4.37,4.00,,
Total,39.82,27.52,32.05,51.46,27.79,33.14,35.27,36.69,28.76,33.39,,
Calc annual,39.82,27.52,32.05,51.46,27.79,33.14,35.27,36.69,28.76,33.39,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
