"BRAGBURY END",,,,,,,,,,,,
Grid ref,TL271212,Long,-0.155121,Lat,51.874895,,,,,,,
Station no,966/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.94,1.74,1.02,,,,,,,,,
February,4.00,0.59,1.97,,,,,,,,,
March,3.40,2.87,0.43,,,,,,,,,
April,2.96,1.68,2.49,,,,,,,,,
May,2.16,1.63,,,,,,,,,,
June,1.20,1.09,,,,,,,,,,
July,0.88,0.60,,,,,,,,,,
August,4.22,4.73,,,,,,,,,,
September,2.80,3.30,,,,,,,,,,
October,0.97,2.47,,,,,,,,,,
November,4.64,4.09,,,,,,,,,,
December,1.92,2.58,,,,,,,,,,
Total,32.09,27.37,,,,,,,,,,
Calc annual,32.09,27.37,5.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
