"MOOR FARM",,,,,,,,,,,,
Grid ref,NS509480,Long,-4.374203,Lat,55.702457,,,,,,,
Station no,5242,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.25,5.38,3.41,5.73,2.80,3.54,6.23,5.67,2.43,5.09,,
February,4.23,3.18,2.33,4.02,1.90,2.21,3.43,3.98,3.27,4.78,,
March,5.15,3.88,1.40,3.79,1.75,4.03,5.80,1.60,3.10,1.83,,
April,3.65,2.81,2.10,2.48,3.12,1.66,3.55,2.24,3.32,4.46,,
May,0.78,2.28,2.79,3.48,4.27,3.52,2.79,4.34,2.04,2.28,,
June,2.76,4.31,2.49,5.19,2.34,3.61,3.40,3.09,3.59,3.08,,
July,4.48,4.03,3.29,4.75,1.30,4.80,4.04,3.85,6.29,2.87,,
August,6.10,3.96,3.87,5.99,1.11,5.50,5.00,6.76,1.87,2.31,,
September,4.61,3.18,6.88,8.33,4.86,4.74,4.09,4.54,1.71,4.05,,
October,1.11,3.83,3.82,11.11,3.83,4.03,7.16,4.49,7.38,3.47,,
November,6.74,2.58,10.98,8.74,1.87,2.69,2.49,1.88,5.24,5.69,,
December,7.50,4.59,6.21,8.72,9.52,8.80,6.28,5.74,7.50,7.14,,
Total,51.36,44.01,49.57,72.33,38.73,49.13,54.26,48.18,47.74,47.05,,
Calc annual,51.36,44.01,49.57,72.33,38.67,49.13,54.26,48.18,47.74,47.05,,
Difference,0.00,-0.00,0.00,0.00,0.06,0.00,0.00,-0.00,0.00,-0.00,,
