"TOOMEBRIDGE",,,,,,,,,,,,
Grid ref,IH988905,Long,-6.466074,Lat,54.752893,,,,,,,
Station no,6230/0/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.77,4.42,1.22,2.70,4.18,2.70,4.56,4.27,2.27,3.47,,
February,2.51,1.19,1.17,3.94,2.51,1.12,2.49,3.46,1.00,2.77,,
March,2.04,1.83,0.43,2.73,1.02,1.22,3.48,1.36,2.41,2.03,,
April,1.43,1.33,1.36,0.64,2.08,1.01,1.76,1.26,2.66,2.53,,
May,1.67,1.55,1.37,3.91,2.80,1.07,2.41,1.70,1.01,2.65,,
June,3.22,1.84,3.01,2.54,3.74,3.43,1.97,4.63,2.21,2.43,,
July,3.41,1.47,3.86,3.19,1.06,3.64,4.50,4.93,3.37,5.59,,
August,5.21,6.49,2.41,1.87,0.79,7.00,3.25,3.32,0.94,4.85,,
September,2.22,1.47,3.41,3.50,3.62,3.05,4.02,4.99,1.50,2.72,,
October,1.15,4.23,1.73,6.07,2.28,2.44,2.82,2.26,4.72,3.26,,
November,5.36,3.14,2.13,4.21,2.12,1.88,1.17,1.66,3.42,3.08,,
December,4.10,3.73,3.26,3.84,3.70,3.74,4.85,3.91,5.80,2.67,,
Total,36.09,32.69,25.36,39.14,29.90,32.30,37.28,37.75,31.31,38.05,,
Calc annual,36.09,32.69,25.36,39.14,29.90,32.30,37.28,37.75,31.31,38.05,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
