"BATTERSEA BATTERSEA PARK",,,,,,,,,,,,
Grid ref,TQ275773,Long,-0.165328,Lat,51.480295,,,,,,,
Station no,4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.03,1.70,1.11,1.03,2.31,3.58,1.63,2.04,2.48,1.46,,
February,5.23,1.02,1.26,2.27,1.12,0.29,3.00,2.58,0.00,1.64,,
March,2.81,2.77,0.69,2.40,0.99,1.03,0.97,1.35,1.96,1.94,,
April,2.58,1.26,2.23,0.34,0.29,1.02,0.14,1.58,2.20,0.27,,
May,1.99,1.59,1.29,2.22,5.18,0.35,1.38,2.52,0.74,2.29,,
June,1.00,2.02,1.88,3.97,2.09,1.96,2.38,4.33,0.67,1.89,,
July,1.75,0.60,3.91,2.49,0.75,3.98,3.38,2.03,1.79,3.82,,
August,3.02,3.46,1.52,4.70,0.82,3.93,2.47,4.16,1.14,3.92,,
September,3.25,2.74,1.99,1.69,2.53,1.83,2.36,3.94,0.11,3.90,,
October,0.98,2.91,3.02,2.47,2.90,1.62,1.92,2.70,1.99,5.39,,
November,5.06,3.40,0.70,3.35,0.62,0.47,2.51,1.83,2.46,3.49,,
December,1.90,2.51,0.66,1.71,1.93,2.38,2.14,2.76,3.22,2.28,,
Total,32.60,25.98,20.26,28.64,21.53,22.44,24.28,31.82,18.76,32.29,,
Calc annual,32.60,25.98,20.26,28.64,21.53,22.44,24.28,31.82,18.76,32.29,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
