"BENACRE (PUMPING STATION)",,,,,,,,,,,,
Grid ref,TM536845,Long,1.726494,Lat,52.399703,,,,,,,
Station no,1372/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.78,2.99,,1.27,1.34,3.54,1.86,2.16,1.84,3.88,,
February,2.83,0.68,,1.75,2.04,1.40,2.38,2.64,0.25,1.37,,
March,2.93,2.73,,1.85,1.15,0.67,1.71,1.13,0.78,1.31,,
April,3.21,0.56,,0.26,0.29,0.88,0.44,1.02,1.74,0.67,,
May,1.65,1.62,0.53,1.72,1.78,0.70,1.04,2.70,0.30,0.35,,
June,1.47,1.21,1.25,1.84,2.22,1.27,2.63,2.02,0.72,1.18,,
July,2.27,1.02,2.55,2.03,0.12,1.56,2.47,2.30,1.58,2.21,,
August,2.17,4.59,1.86,4.66,1.70,3.98,1.95,2.31,1.97,3.18,,
September,1.80,2.64,1.75,1.25,0.87,1.12,3.15,2.06,0.00,4.74,,
October,0.63,3.26,1.32,1.72,3.65,2.74,1.47,1.42,2.24,8.01,,
November,3.60,5.70,1.09,3.87,1.22,1.17,1.59,1.24,3.18,3.37,,
December,1.12,2.55,0.87,1.54,1.33,1.34,1.77,3.24,3.19,3.58,,
Total,25.46,29.55,,23.76,17.71,20.37,22.46,24.24,17.79,33.85,,
Calc annual,25.46,29.55,11.22,23.76,17.71,20.37,22.46,24.24,17.79,33.85,,
Difference,-0.00,-0.00,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
