"EASTWOOD (WATERWORKS)",,,,,,,,,,,,
Grid ref,SK460468,Long,-1.315765,Lat,53.016532,,,,,,,
Station no,2597,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.37,2.56,0.87,1.53,2.85,4.20,1.83,3.14,3.14,5.34,,
February,3.45,0.65,1.98,2.76,2.10,1.02,2.92,4.24,0.20,2.52,,
March,3.85,2.44,1.46,2.61,2.75,0.93,3.20,1.68,1.41,1.83,,
April,2.32,1.87,2.43,0.44,1.31,1.99,0.21,1.02,2.59,1.24,,
May,2.90,2.78,2.22,2.68,3.07,0.64,1.30,2.73,0.53,1.17,,
June,1.50,3.03,4.10,4.09,3.33,3.12,1.47,4.32,0.88,1.99,,
July,0.73,0.92,3.45,2.04,0.76,3.48,2.61,4.72,1.94,3.27,,
August,4.79,1.58,2.40,4.14,0.64,5.75,4.26,2.31,1.00,3.69,,
September,1.82,1.83,1.47,3.46,0.77,2.58,6.25,2.73,0.08,4.21,,
October,0.83,3.65,2.07,3.64,1.71,1.34,1.77,2.53,2.04,5.52,,
November,6.12,1.55,1.89,5.25,2.23,1.05,2.52,1.16,2.59,3.46,,
December,2.26,2.77,0.84,2.83,2.50,3.38,2.58,3.49,4.18,4.01,,
Total,32.94,25.63,25.18,35.47,24.02,29.48,30.92,34.07,20.58,38.25,,
Calc annual,32.94,25.63,25.18,35.47,24.02,29.48,30.92,34.07,20.58,38.25,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
