"ELKESLEY (PUMPING STATION)",,,,,,,,,,,,
Grid ref,SK664760,Long,-1.005679,Lat,53.276833,,,,,,,
Station no,2632,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.76,1.72,0.50,0.90,1.87,3.56,1.02,2.11,2.28,4.47,,
February,2.98,0.38,2.10,2.05,3.39,0.82,1.86,3.41,0.10,2.15,,
March,2.71,2.05,0.94,1.39,2.79,0.53,1.63,1.31,1.16,1.43,,
April,0.92,0.92,1.85,0.39,0.97,1.91,0.23,0.44,2.35,-999.00,,
May,3.22,1.69,1.65,2.85,2.88,0.32,1.21,2.83,0.72,1.09,,
June,0.99,1.82,1.57,2.21,2.25,3.76,1.50,5.21,0.77,1.18,,
July,1.04,0.49,2.13,2.07,1.06,2.92,3.62,4.73,0.92,3.31,,
August,3.00,1.73,1.66,4.99,0.32,6.59,3.68,2.37,0.47,2.26,,
September,1.40,2.16,0.92,1.61,0.57,1.68,3.89,1.83,,3.82,,
October,0.90,2.63,1.65,3.53,1.29,1.12,0.89,1.61,2.22,5.16,,
November,5.72,1.52,1.14,4.43,1.69,0.63,2.87,0.61,2.50,2.64,,
December,1.44,1.36,0.64,1.99,2.02,1.91,2.33,2.97,2.94,2.20,,
Total,26.08,18.47,16.75,28.41,21.10,25.75,24.73,29.43,16.43,30.39,,
Calc annual,26.08,18.47,16.75,28.41,21.10,25.75,24.73,29.43,16.43,29.71,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.68,,
