"DONAGHADEE (BELVEDERE)",,,,,,,,,,,,
Grid ref,IJ571805,Long,-5.566607,Lat,54.648308,,,,,,,
Station no,6202/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.67,3.29,,,,,,,,,,
February,2.48,0.46,,,,,,,,,,
March,2.93,1.17,,,,,,,,,,
April,1.45,1.60,,,,,,,,,,
May,2.93,1.10,,,,,,,,,,
June,1.22,1.86,,,,,,,,,,
July,2.61,1.66,,,,,,,,,,
August,3.94,5.15,,,,,,,,,,
September,2.02,1.59,,,,,,,,,,
October,0.23,3.73,,,,,,,,,,
November,5.52,2.77,,,,,,,,,,
December,4.04,3.69,,,,,,,,,,
Total,33.04,28.07,,,,,,,,,,
Calc annual,33.04,28.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
