"LOCH SHIN (CORRYKIN LOCH)",,,,,,,,,,,,
Grid ref,NC365257,Long,-4.782885,Lat,58.189728,,,,,,,
Station no,5799/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.64,10.75,10.06,8.10,3.27,9.00,10.98,11.38,9.80,6.88,,
February,6.57,7.94,6.34,4.33,4.76,6.07,5.13,6.42,2.71,4.99,,
March,5.78,6.26,4.43,3.73,2.33,2.64,6.76,3.70,2.21,1.43,,
April,10.67,2.29,5.00,3.82,2.76,3.93,3.82,4.04,5.82,4.81,,
May,1.73,6.15,4.07,4.09,4.92,5.44,2.99,6.58,4.00,2.32,,
June,2.95,5.74,2.90,4.03,2.75,4.21,6.15,2.64,7.33,3.84,,
July,4.96,3.44,5.80,7.21,1.39,5.70,5.20,2.10,8.94,3.43,,
August,3.24,6.55,6.21,3.67,0.65,6.43,11.74,6.47,4.80,4.06,,
September,4.35,8.90,9.06,6.45,8.64,5.14,8.68,3.81,3.80,3.03,,
October,4.67,9.02,3.82,11.15,8.39,9.53,11.20,9.38,9.56,3.36,,
November,11.20,8.43,15.01,6.29,3.26,9.34,6.54,4.21,8.12,4.38,,
December,13.97,9.28,7.30,16.67,10.37,10.92,14.11,7.26,7.30,10.58,,
Total,77.73,84.75,80.00,79.54,53.49,78.35,93.30,67.99,74.39,53.11,,
Calc annual,77.73,84.75,80.00,79.54,53.49,78.35,93.30,67.99,74.39,53.11,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,,
