"GREAT BARDFIELD (GREAT LODGE)",,,,,,,,,,,,
Grid ref,TL694290,Long,0.462633,Lat,51.933728,,,,,,,
Station no,1307/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,1.62,0.75,1.05,1.93,3.16,1.28,1.57,1.77,1.67,,
February,,0.54,0.96,1.68,1.41,0.39,1.91,2.64,0.09,1.38,,
March,,2.78,0.23,2.00,1.05,0.63,0.91,0.76,1.63,1.16,,
April,,0.98,1.95,0.19,0.19,1.14,0.21,0.79,1.80,0.43,,
May,1.98,0.41,1.29,2.03,3.20,0.62,0.58,2.21,0.64,1.20,,
June,1.05,0.83,2.65,2.83,2.05,1.80,1.99,5.24,0.76,1.13,,
July,0.58,0.62,2.55,2.10,0.31,4.16,2.40,2.91,1.72,2.12,,
August,2.88,3.41,1.50,3.24,1.29,4.04,1.98,5.96,0.55,2.62,,
September,3.38,3.13,1.68,1.29,1.90,1.81,2.07,3.68,0.02,3.79,,
October,0.73,2.20,2.99,1.78,3.80,2.32,1.94,1.99,1.51,5.27,,
November,3.54,3.54,0.86,3.17,0.68,0.52,1.95,1.58,2.06,3.31,,
December,1.61,2.06,0.61,1.80,1.53,1.63,2.20,2.51,3.66,2.48,,
Total,,22.12,18.02,23.16,19.34,22.22,19.42,31.84,16.21,26.56,,
Calc annual,15.75,22.12,18.02,23.16,19.34,22.22,19.42,31.84,16.21,26.56,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
