"AUCHTERAWE (LON MOT)",,,,,,,,,,,,
Grid ref,NH336068,Long,-4.750169,Lat,57.121918,,,,,,,
Station no,5701/7/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,6.50,4.99,6.39,3.21,4.63,9.75,3.95,3.55,3.95,,
February,,3.16,4.02,3.30,3.35,3.28,3.90,2.45,3.40,3.25,,
March,,2.62,2.55,2.48,1.42,2.81,4.20,1.75,2.70,0.90,,
April,,2.40,3.56,2.19,1.95,3.02,1.35,3.55,4.10,4.80,,
May,,2.90,4.45,4.14,3.60,4.76,1.40,5.10,1.30,1.50,,
June,,2.33,2.75,2.15,2.22,1.81,2.80,1.90,3.95,3.25,,
July,,3.41,3.84,1.97,0.24,4.45,5.06,2.83,4.60,2.75,,
August,,5.86,3.99,4.39,0.63,5.73,4.80,4.40,3.35,6.00,,
September,,5.91,4.58,5.23,6.18,6.22,3.35,3.85,1.42,3.00,,
October,,6.49,2.24,10.37,5.48,5.58,6.35,7.40,6.80,1.20,,
November,,3.51,10.52,6.27,1.42,5.10,2.20,1.25,7.15,4.00,,
December,,6.03,6.56,12.54,10.31,10.45,7.80,5.00,6.45,6.80,,
Total,,51.12,54.05,61.42,40.01,57.84,52.96,43.43,48.77,41.40,,
Calc annual,0.00,51.12,54.05,61.42,40.01,57.84,52.96,43.43,48.77,41.40,,
Difference,NaN,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
