"HARRIS (ASHAVAT)",,,,,,,,,,,,
Grid ref,NB072123,Long,-6.958218,Lat,58.003074,,,,,,,
Station no,5766/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,7.60,,
February,,,,,,,,,,4.80,,
March,,,,,,,,,,2.65,,
April,,,,,,,,,,7.20,,
May,,,,,,,,,,4.28,,
June,,,,,,,,,,6.05,,
July,,,,,,,,,,6.26,,
August,,,,,,,,,,8.80,,
September,,,,,,,,,,7.97,,
October,,,,,,,,,,3.25,,
November,,,,,,,,,,10.50,,
December,,,,,,,,,10.93,11.24,,
Total,,,,,,,,,,80.60,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.93,80.60,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
