"EPSOM COLLEGE",,,,,,,,,,,,
Grid ref,TQ223599,Long,-0.246165,Lat,51.325062,,,,,,,
Station no,134,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.51,2.02,0.54,1.32,2.81,3.72,1.42,1.98,2.16,2.46,,
February,8.01,0.79,1.03,2.16,1.99,0.26,3.10,1.93,0.09,1.98,,
March,3.16,2.83,0.27,1.73,1.19,0.38,0.88,1.23,2.59,1.84,,
April,3.17,0.99,2.38,0.29,0.26,1.16,0.30,0.77,2.09,0.82,,
May,2.16,1.46,1.52,2.74,3.74,0.23,1.53,2.88,1.00,1.98,,
June,1.08,1.20,1.38,4.09,1.81,1.77,0.89,4.83,1.55,1.49,,
July,2.19,0.80,2.69,2.87,1.40,6.02,2.84,1.63,1.59,2.53,,
August,3.61,2.23,1.51,2.60,1.05,3.18,3.16,2.50,1.31,3.14,,
September,3.08,3.14,2.97,2.03,1.84,2.24,2.78,4.81,0.18,2.63,,
October,0.96,2.94,4.02,2.08,3.11,1.31,1.56,2.90,2.49,6.32,,
November,6.43,2.90,1.33,4.64,1.01,0.86,2.58,1.70,3.61,4.48,,
December,2.34,1.74,0.65,2.22,2.40,3.30,2.02,2.96,4.43,2.78,,
Total,39.70,23.04,20.29,28.77,22.61,24.43,23.06,30.12,23.09,32.45,,
Calc annual,39.70,23.04,20.29,28.77,22.61,24.43,23.06,30.12,23.09,32.45,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
