"OSPRINGE (QUEEN COURT)",,,,,,,,,,,,
Grid ref,TR000604,Long,0.868040,Lat,51.307565,,,,,,,
Station no,312,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.26,1.10,0.96,1.51,2.94,4.73,1.86,3.40,,,,
February,6.24,0.95,1.13,1.97,1.50,1.53,3.93,2.06,,,,
March,3.11,3.12,0.12,1.72,1.43,0.41,0.85,1.58,,,,
April,1.75,0.62,1.44,0.07,0.26,1.00,0.22,1.34,,,,
May,2.12,0.88,1.91,1.61,4.35,0.68,1.15,1.62,,,,
June,1.35,2.43,2.41,3.36,2.09,2.20,1.40,4.91,,,,
July,1.42,0.80,2.55,1.68,2.02,2.45,3.36,2.15,,,,
August,3.59,2.54,1.60,3.90,3.03,4.17,2.07,3.27,,,,
September,3.71,4.70,3.73,1.21,1.53,1.10,2.46,2.10,,,,
October,1.03,2.20,2.51,1.82,4.76,1.36,1.12,4.50,,,,
November,4.37,3.36,1.27,5.38,0.64,1.05,4.11,1.81,,,,
December,2.17,3.70,0.69,1.59,1.92,3.06,2.33,3.10,,,,
Total,34.12,26.40,20.32,25.82,26.47,23.74,24.86,31.84,,,,
Calc annual,34.12,26.40,20.32,25.82,26.47,23.74,24.86,31.84,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,NaN,NaN,,
